id,name,weight,height,experience,active,status,position,age,team,stats_log,url
11283,DeSean Jackson,175.0,70.0,15,True,FA,1,37.0,33,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/11283?lang=en&region=us
4035054,Drake Jackson,292.0,74.0,0,True,FA,4,26.0,14,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4035054?lang=en&region=us
5160748,JaQuae Jackson,184.0,73.0,0,True,Day-To-Day,1,24.0,17,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/5160748?lang=en&region=us
4698301,Jermaine Jackson,170.0,67.0,0,True,Active,1,24.0,18,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4698301?lang=en&region=us
4427575,Jha'Quan Jackson,188.0,69.0,0,True,Active,1,24.0,10,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4427575?lang=en&region=us
4361778,Kearis Jackson,196.0,71.0,2,True,Practice Squad,1,24.0,19,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4361778?lang=en&region=us
3915802,Lucky Jackson,186.0,72.0,1,True,Practice Squad,1,27.0,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3915802?lang=en&region=us
4361332,Shedrick Jackson,195.0,73.0,1,True,FA,1,25.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4361332?lang=en&region=us
4046715,Trishton Jackson,191.0,73.0,3,True,FA,1,26.0,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4046715?lang=en&region=us
4256040,Warren Jackson,219.0,78.0,1,True,FA,1,25.0,14,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4256040?lang=en&region=us
4569510,John Jackson III,215.0,73.0,0,True,Practice Squad,1,25.0,3,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4569510?lang=en&region=us
3932244,Andre James,300.0,76.0,6,True,Active,4,27.0,13,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3932244?lang=en&region=us
3122899,Richie James,185.0,69.0,6,True,FA,1,29.0,12,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3122899?lang=en&region=us
4362208,Sam James,176.0,72.0,0,True,FA,1,24.0,14,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4362208?lang=en&region=us
4575116,Ty James,200.0,74.0,0,True,FA,1,23.0,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4575116?lang=en&region=us
4251826,Tyshaun James,214.0,74.0,0,True,FA,1,25.0,1,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4251826?lang=en&region=us
4368287,Jadon Janke,210.0,75.0,0,True,FA,1,24.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4368287?lang=en&region=us
4368290,Jaxon Janke,210.0,75.0,0,True,FA,1,24.0,34,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4368290?lang=en&region=us
4429006,Rakim Jarrett,192.0,72.0,2,True,Day-To-Day,1,23.0,27,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4429006?lang=en&region=us
4262921,Justin Jefferson,195.0,73.0,5,True,Active,1,25.0,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4262921?lang=en&region=us
3930066,Van Jefferson,200.0,73.0,5,True,Active,1,28.0,23,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3930066?lang=en&region=us
14912,Alshon Jeffery,218.0,75.0,9,True,FA,1,34.0,21,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/14912?lang=en&region=us
